VENDOR,SUPPLIER CODE,ITEM CODE,SHORT DESCRIPTION,NOTES,NZ RRP EXCL,NZ DEALER EXCL
AVPro Edge,AC-BTSSF-USB3-HUB-20,AC-BTSSF-USB3-HUB-20,Bullet Train 20 Metre USB 3.0 Extension Cable with 4 Port Hub,*Limited stock available*,$567,$397
AVPro Edge,AC-BTSSF-USB3-HUB-30,AC-BTSSF-USB3-HUB-30,Bullet Train 30 Metre USB 3.0 Extension Cable with 4 Port Hub,*Limited stock available*,$673,$471
AVPro Edge,AC-BTSSF-USB3-HUB-40,AC-BTSSF-USB3-HUB-40,Bullet Train 40 Metre USB 3.0 Extension Cable with 4 Port Hub,*Limited stock available*,$776,$543
AVPro Edge,AC-Cable-3PIN-2CH,AC-Cable-3PIN-2CH,3Pin Phoenix Connector to 2 Channel Stereo Female for balanced audio ports,,$42,$29
AVPro Edge,AC-Cable-5PIN-2CH,AC-Cable-5PIN-2CH,5Pin Phoenix Connector to 2 Channel Stereo Female for balanced audio ports,,$42,$29
AVPro Edge,AC-CX42-AUHD,AC-CX42-AUHD,"4x2 ConferX Auto Switching Matrix w/ HDBaseT Inputs and Outputs. Microphone, Volume and Line Level Audio",,"$1,288",$901
AVPro Edge,AC-CX62-AUHD,AC-CX62-AUHD,"6x2 ConferX Auto Switching Matrix w/ HDBaseT Inputs and Outputs. Microphone, Volume and Line Level Audio",,"$1,754","$1,228"
AVPro Edge,AC-CX-84,AC-CX-84,"8x4 ConferX Quick Switch Matrix w/ HDBaseT Inputs and Outputs. Microphone, Volume and Line Level Audio",,"$5,241","$3,669"
AVPro Edge,AC-CXMX-AUHD-RACK,AC-CXMX-AUHD-RACK,Rack Mount for AC-CX42-AUHD and AC-CX62-AUHD,,$119,$83
AVPro Edge,AC-CXWP-150-BKT,AC-CXWP-150-BKT,"Ultra-Stable, Long Distance 150M 4k60 Wall Plate Extender Kit - White",*New!,"$2,234","$1,564"
AVPro Edge,AC-CXWP-150-BKT-B,AC-CXWP-150-BKT-B,"Ultra-Stable, Long Distance 150M 4k60 Wall Plate Extender Kit - Black",*New!,"$2,234","$1,564"
AVPro Edge,AC-CXWP-HDMO-BKT,AC-CXWP-HDMO-BKT,HDMI Single Gang Decora Style Wall Plate HDBaseT Basic Extender Kit (70M HD 1080p) - White,"This product is NOT compatible with any other HDbaseT Products. Must be used as a point-to-point kit, not as input or output for any switcher or combined with any switcher.",$862,$603
AVPro Edge,AC-CXWP-HDMO-T,AC-CXWP-HDMO-T,"HDMI Single Gang, Decora Wall Plate HDBaseT Transmitter ONLY (100M HD, 70M 4K) - White",Use with AC-EX70-444-RNE-P,$802,$562
AVPro Edge,AC-CXWP-HDMO-TB,AC-CXWP-HDMO-TB,"HDMI Single Gang, Decora Wall Plate HDBaseT Transmitter ONLY (100M HD, 70M 4K) - Black",Use with AC-EX70-444-RNE-P,$802,$562
AVPro Edge,AC-CXWP-KVM-KIT,AC-CXWP-KVM-KIT,HDMI and Bi-Directional USB/KVM Wall Plate Transmitter and Receiver via HDBaseT Kit,,"$1,663","$1,164"
AVPro Edge,AC-CXWP-LPDH-CCB,AC-CXWP-LPDH-CCB,ConferX Low-Profile Dual HDMI Wall Plate – Black ,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPDH-CCS,AC-CXWP-LPDH-CCS,ConferX Low-Profile Dual HDMI Wall Plate Faceplate - Steel,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPDH-KIT,AC-CXWP-LPDH-KIT,ConferX Low-Profile Dual HDMI Wall Plate Transmitter (White) and RX via HDBaseT(100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU","$2,032","$1,422"
AVPro Edge,AC-CXWP-LPDH-T,AC-CXWP-LPDH-T,ConferX Low-Profile Dual HDMI Wall Plate Transmitter via HDBaseT - White (100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$956,$669
AVPro Edge,AC-CXWP-LPDHU-CCB,AC-CXWP-LPDHU-CCB,ConferX Low-Profile HDMI/USB-C Wall Plate Faceplate – Black,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPDHU-CCS,AC-CXWP-LPDHU-CCS,ConferX Low-Profile HDMI/USB-C Wall Plate Faceplate – Steel,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPDHU-KIT,AC-CXWP-LPDHU-KIT,ConferX Low-Profile HDMI/USB-C Wall Plate Transmitter (White) and RX via HDBaseT(100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU","$2,032","$1,422"
AVPro Edge,AC-CXWP-LPDHU-T,AC-CXWP-LPDHU-T,ConferX Low-Profile HDMI/USB-C Wall Plate Transmitter via HDBaseT - White (100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$956,$669
AVPro Edge,AC-CXWP-LPH-CCB,AC-CXWP-LPH-CCB,ConferX Low-Profile HDMI Wall Plate Faceplate – Black,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPH-CCS,AC-CXWP-LPH-CCS,ConferX Low-Profile HDMI Wall Plate Faceplate - Steel,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPH-KIT,AC-CXWP-LPH-KIT,ConferX Low-Profile HDMI Wall Plate Transmitter (White) and RX via HDBaseT (100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU","$2,032","$1,422"
AVPro Edge,AC-CXWP-LPH-T,AC-CXWP-LPH-T,ConferX Low-Profile HDMI Wall Plate Transmitter via HDBaseT - White (100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$956,$669
AVPro Edge,AC-CXWP-LPU-CCB,AC-CXWP-LPU-CCB,ConferX Low-Profile USB-C Wall Plate Faceplate – Black,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPU-CCS,AC-CXWP-LPU-CCS,ConferX Low-Profile USB-C Wall Plate Faceplate – Steel,"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$37,$26
AVPro Edge,AC-CXWP-LPU-KIT,AC-CXWP-LPU-KIT,ConferX Low-Profile USB-C Wall Plate Transmitter (White) and RX via HDBaseT(100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU","$2,032","$1,422"
AVPro Edge,AC-CXWP-LPU-T,AC-CXWP-LPU-T,ConferX Low-Profile USB-C Wall Plate Transmitter via HDBaseT - White (100 Meters),"Standard with US faceplate. EU/UK version available, but ex-indent & must be specified as ""SKU""-EU",$956,$669
AVPro Edge,AC-CXWP-USBC-T,AC-CXWP-USBC-T,"USB-C & HDMI Single Gang, Decora Style Wall Plate (White) HDBaseT Transmitter ONLY (100M HD, 70M 4K)",Use with AC-EX70-444-RNE-P,$954,$668
AVPro Edge,AC-CXWP-VGA-T,AC-CXWP-VGA-T,"VGA & HDMI Single Gang, Decora Style Wall Plate (White) HDBaseT Transmitter ONLY (100M HD, 70M 4K)",Use with AC-EX70-444-RNE-P,$833,$583
