StockCode,Vendor,VendorStockCode,StockDescription,PrimaryCategory,SecondaryCategory,TertiaryCategory,RRPEx,DealerEx,StockAvailable,ETA,Status,Type,BundledItem1,BundledItem2,BundledItem3,BundledItem4,BundledItem5
01-SSC-2084,SONICWALL,01-SSC-2084,"SMA POOLED PERPETUAL 24X7 SUPPORT 10,000 USER 3 YEARS","NETWORKING","SMA","LICENSING","261780.00","192972.00",0,TBA,A,StockedItem,,,,,
01-SSC-2085,SONICWALL,01-SSC-2085,"SMA POOLED PERPETUAL 24X7 SUPPORT 20,000 USER 3 YEARS","NETWORKING","SMA","LICENSING","432042.00","318482.00",0,TBA,A,StockedItem,,,,,
01-SSC-2086,SONICWALL,01-SSC-2086,"SMA POOLED PERPETUAL 24X7 SUPPORT 50,000 USER 3 YEARS","NETWORKING","SMA","LICENSING","785340.00","578917.00",0,TBA,A,StockedItem,,,,,
01-SSC-2109,SONICWALL,01-SSC-2109,"SMA CMS SPIKE ADD-ON LICENSE 100 USER 5 DAYS","NETWORKING","SMA","LICENSING","2094.00","1544.00",0,TBA,A,StockedItem,,,,,
01-SSC-2110,SONICWALL,01-SSC-2110,"SMA CMS SPIKE ADD-ON LICENSE 500 USER 5 DAYS","NETWORKING","SMA","LICENSING","6283.00","4631.00",0,TBA,A,StockedItem,,,,,
01-SSC-2111,SONICWALL,01-SSC-2111,"SMA CMS SPIKE ADD-ON LICENSE 1,000 USER 5 DAYS","NETWORKING","SMA","LICENSING","10471.00","7719.00",0,TBA,A,StockedItem,,,,,
01-SSC-2112,SONICWALL,01-SSC-2112,"SMA CMS SPIKE ADD-ON LICENSE 5,000 USER 5 DAYS","NETWORKING","SMA","LICENSING","12565.00","9263.00",0,TBA,A,StockedItem,,,,,
01-SSC-2113,SONICWALL,01-SSC-2113,"SMA CMS SPIKE ADD-ON LICENSE 10,000 USER 5 DAYS","NETWORKING","SMA","LICENSING","20942.00","15438.00",0,TBA,A,StockedItem,,,,,
01-SSC-2114,SONICWALL,01-SSC-2114,"SMA CMS SPIKE ADD-ON LICENSE 25,000 USER 5 DAYS","NETWORKING","SMA","LICENSING","35602.00","26244.00",0,TBA,A,StockedItem,,,,,
01-SSC-2115,SONICWALL,01-SSC-2115,"SMA CMS SPIKE ADD-ON LICENSE 50,000 USER 5 DAYS","NETWORKING","SMA","LICENSING","62827.00","46313.00",0,TBA,A,StockedItem,,,,,
01-SSC-2136,SONICWALL,01-SSC-2136,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 9650 1YR","NETWORKING",,"SOFTWARE","61717.00","45495.00",999999999,,A,StockedItem,,,,,
01-SSC-2142,SONICWALL,01-SSC-2142,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 9650 1YR","NETWORKING",,"SOFTWARE","56574.00","41703.00",999999999,,A,StockedItem,,,,,
